geoid10,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
17031230100,0,3,1,0,0,0,1,0,0,0,1,1,0,1
17031230200,0,1,1,3,0,3,0,0,0,0,0,0,2,0
17031230300,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17031230400,1,3,0,0,1,0,3,1,0,0,1,0,1,1
17031230500,0,4,2,0,2,3,1,0,0,0,0,1,3,0
17031230600,0,1,3,0,1,2,1,1,0,0,0,2,4,1
17031230700,0,10,3,0,0,1,3,0,0,0,0,1,2,3
17031230800,1,1,1,0,0,0,1,1,0,0,0,0,0,1
17031230900,0,4,2,0,3,9,3,1,0,0,0,1,4,0
17031231100,1,0,0,0,0,0,1,1,0,0,0,0,0,0
17031231200,1,8,1,0,2,1,2,0,0,0,0,0,1,4
17031231500,1,7,2,0,0,2,5,3,0,0,0,1,2,3
17031240200,0,2,3,1,0,2,1,1,0,0,1,0,0,0
17031240300,1,4,0,2,1,16,1,0,1,0,1,3,18,1
17031240500,0,5,1,0,1,6,4,2,0,0,2,4,5,1
17031240600,2,8,0,0,1,2,1,3,1,0,0,1,3,2
17031240700,0,3,2,0,0,0,1,1,0,0,0,0,0,1
17031240800,0,7,0,2,0,5,0,0,0,0,0,0,0,0
17031240900,0,1,0,7,0,3,1,3,0,0,2,0,0,3
17031241000,0,4,1,0,0,3,1,0,0,0,1,0,1,0
17031241100,1,4,0,1,0,9,2,1,0,0,1,3,3,0
17031241200,0,4,5,1,1,6,0,2,0,0,0,0,0,1
17031241300,0,1,0,0,0,4,1,0,0,0,0,0,1,1
17031241400,1,2,4,1,2,63,4,5,0,0,13,12,27,4
17031241500,1,2,0,2,3,30,4,6,0,0,7,13,32,2
17031241600,2,0,3,0,1,8,2,0,2,1,0,1,1,2
17031242000,0,2,4,3,0,23,3,3,0,1,3,2,4,1
17031242100,2,2,1,1,1,14,4,1,0,1,6,1,1,2
17031242200,0,0,1,1,0,10,3,1,0,0,5,2,5,2
17031242300,0,6,1,0,1,15,1,0,0,0,7,1,3,1
17031242400,0,3,5,2,1,8,2,3,0,0,5,6,7,3
17031242500,0,0,3,2,2,6,3,3,0,0,2,4,6,1
17031242600,2,2,3,1,1,7,2,0,0,0,1,2,4,1
17031242700,0,0,1,0,1,2,0,0,0,0,1,1,0,0
17031242800,1,2,0,1,0,5,1,3,0,0,0,2,2,2
17031242900,3,4,2,4,0,3,1,1,0,0,1,1,0,1
17031243000,0,0,0,1,1,8,1,2,0,0,2,2,1,1
17031243100,0,0,4,3,1,7,2,1,0,0,1,1,7,1
17031243200,1,3,4,3,0,15,2,0,0,0,3,1,1,3
17031243300,2,2,2,1,0,4,3,0,0,0,1,1,4,3
17031243400,1,2,2,0,1,13,2,0,0,0,3,2,2,1
17031243500,2,2,1,5,1,19,7,2,0,0,4,1,5,2
17031250200,2,0,0,0,0,2,0,0,0,0,0,2,0,0
17031250300,0,2,1,1,1,1,0,0,0,0,0,0,2,0
17031250400,0,2,3,0,0,3,2,0,0,0,1,0,2,6
17031250500,0,4,1,0,4,8,1,3,0,0,0,4,3,2
17031250600,1,6,2,0,0,2,1,1,0,0,0,0,1,2
17031250700,0,7,1,0,0,1,3,0,0,0,0,0,2,2
17031250800,0,1,1,0,1,4,3,1,1,0,0,1,6,4
17031251000,1,2,2,1,0,0,3,1,0,0,0,0,0,4
17031251100,0,8,0,1,0,0,1,0,0,0,0,1,3,4
17031251200,0,5,2,0,0,1,1,0,0,0,0,0,3,3
17031251300,0,12,2,1,0,2,0,0,0,0,0,0,1,3
17031251400,0,15,2,0,0,3,1,0,0,0,0,0,1,2
17031251500,0,8,4,0,0,3,1,0,0,0,0,0,0,3
17031251600,0,8,0,0,0,1,1,0,0,0,0,0,0,0
17031251700,1,7,2,0,0,0,0,0,0,0,0,0,0,0
17031251800,0,17,3,0,0,0,1,0,0,0,0,1,1,3
17031251900,1,3,1,0,0,1,0,2,0,0,0,0,0,0
17031252000,0,6,5,0,0,1,0,0,0,0,1,1,1,2
17031252101,0,3,1,0,0,2,0,0,0,0,1,0,0,2
17031252102,0,9,1,0,1,0,2,0,0,0,0,2,2,5
17031252201,1,4,5,0,0,2,1,0,0,0,0,0,0,1
17031252202,0,6,0,0,0,1,2,0,0,0,0,0,1,3
17031260100,1,0,0,0,2,0,1,0,0,0,0,0,4,1
17031260200,0,3,1,0,2,0,1,0,0,0,0,1,2,2
17031260300,0,4,1,1,0,0,0,0,0,0,0,1,0,1
17031260400,0,2,0,0,0,0,1,0,0,0,1,0,0,1
17031260500,0,4,1,0,0,0,1,0,0,0,0,0,2,2
17031260600,0,3,0,0,0,0,0,0,0,0,0,0,0,0
17031260700,0,3,1,0,0,2,1,1,0,0,0,1,2,1
17031260800,0,2,2,0,0,1,1,0,0,0,0,0,1,1
17031260900,0,3,0,0,0,0,0,0,0,0,0,0,0,0
17031261000,0,5,2,0,0,0,0,0,0,0,0,1,0,0
17031270500,0,1,2,0,0,0,1,0,0,0,0,0,0,1
17031271200,0,5,5,0,0,0,1,0,0,0,0,0,2,2
17031271300,0,1,2,0,0,0,0,0,0,0,0,0,0,1
17031271400,0,2,1,0,0,0,0,2,0,0,0,0,0,1
17031271500,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17031271800,0,7,2,1,0,0,0,0,0,0,0,0,1,1
17031280100,2,1,0,4,5,76,8,2,0,2,11,14,13,14
17031280400,1,1,1,1,0,1,2,0,0,0,3,0,1,1
17031280800,0,2,2,1,1,2,0,0,0,0,0,3,2,0
17031280900,0,0,0,0,1,4,1,0,0,0,0,1,1,1
17031281900,1,4,6,4,6,44,5,4,0,1,5,9,5,11
17031282700,1,1,1,0,0,1,1,0,0,0,0,0,0,2
17031282800,0,0,0,0,0,4,0,0,0,0,1,0,0,0
17031283100,0,0,2,1,0,20,4,0,0,1,3,1,1,0
17031283200,0,0,1,1,1,9,1,0,0,0,1,0,1,1
17031283800,0,2,1,1,0,0,0,0,0,0,0,0,0,1
17031290900,0,21,3,0,0,1,0,0,0,0,0,0,1,1
17031291200,0,5,1,0,0,3,0,1,0,0,0,0,0,0
17031291600,0,0,0,24,0,0,0,0,0,0,0,0,0,0
17031292200,0,4,1,0,0,1,0,0,0,0,0,0,0,0
17031292400,0,7,2,1,0,2,0,6,0,0,0,1,1,2
17031292500,0,7,1,0,0,1,1,0,0,0,0,2,0,1
17031300500,1,0,0,0,2,1,1,2,0,0,0,0,3,1
17031300600,0,6,1,1,1,0,4,2,0,0,2,0,3,2
17031300700,0,1,0,0,1,0,0,0,0,0,0,0,2,0
17031300800,0,1,1,0,2,1,0,1,0,0,0,0,1,1
17031300900,0,4,5,1,0,4,2,0,0,0,0,0,1,0
17031301100,0,1,2,1,0,2,0,0,0,0,0,0,0,1
17031301200,1,4,2,0,1,3,0,0,0,0,0,0,2,2
17031301600,0,3,1,0,1,0,1,0,0,0,0,0,1,0
